id;kategoria;KTO;CO;TRIGGER;GDZIE;KIEDY
347;BIZNES;urzędy pracy;ogłoszenia;miały wyjątkowo dużo;Polska;2015 r.
348;BIZNES;Puls Biznesu;system poboru opłat;informuje;Polska;
349;POLITYKA;Tadeusz Kościński;prognozy makroekonomiczne;będziemy aktualizować;Polska;kwiecień
350;BIZNES;Komisja Europejska;koszty emisji CO2;poinformowała;;
351;PRZESTEPSTWO;UOKiK;zarzuty dwóm bankom;postawieniu;Polska;poniedziałek
352;BIZNES;Włochy;wino Novello;przygotowano;Włochy;
353;BIZNES;Zarząd Morskiego Portu Gdynia;przeładunki kontenerów;podał;Gdynia;styczeń-luty 2021
354;BIZNES;PGNiG;wydobycie ropy;spodziewa się;Norwegia;ten rok
355;POLITYKA;;podatku VAT;nie będzie rewolucji;Polska;
356;PRZESTEPSTWO;Komisja Europejska;system korzyści podatkowych;ogłosiła nielegalność;Belgia;poniedziałek
357;BIZNES;Sephora;perfumerie;zawieszą działalność;Rosja;8 marca
358;BIZNES;tunel kolejowy;tunel;oddany do użytku;świat;niedziela
359;BIZNES;Volvo;stowarzyszenie ACEA;opuści;Europa;do końca 2022 r.
360;BIZNES;Stocznia Gdańska;stocznia;wróci w polskie ręce;Gdańsk;
361;BIZNES;Polacy;whisky;kupują i spożywają;Polska;
362;BIZNES;Huta Stalowa Wola;kontrakt;podaje Rzeczpospolita;Podkarpacie;środa
363;BRAK_ZDARZENIA;brokuł;warzywo;nazywany;;
364;PRZESTEPSTWO;spółka zależna PGNiG;pozew przeciwko KE;złożyła;UE (TSUE);
365;POLITYKA;goście Forum w Davos;wystawę zdjęć;mogą zwiedzać;Davos;
366;BIZNES;Marek Zagórski;sieć 5G;obstawiam;Warszawa;przyszły rok
367;POLITYKA;MF;deficyt budżetowy;podało;Polska;2015 r.
368;BRAK_ZDARZENIA;;;;;
369;PRZESTEPSTWO;prezes UOKiK;postępowanie przeciwko T-Mobile;wszczął;Polska;
370;BIZNES;konsumenci;wyprzedaże posezonowe;ruszają na łowy;Polska;
371;BIZNES;Polska;umowę kredytową z EBI;podpisała;;
372;BIZNES;;zarząd spółki CPK;przedstawiono;Polska;
373;POLITYKA;pełnomocnik rządu;projekt nowelizacji ustawy o CPK;zapowiedział;Polska;połowa sierpnia
374;BIZNES;Urząd Transportu Kolejowego;liczba pasażerów kolei;wynika z prognozy;Polska;koniec tego roku
375;POLITYKA;Donald Trump;General Motors;skrytykował;Meksyk / USA;wtorek
376;BIZNES;Ministerstwo Finansów;kalkulator wynagrodzeń;uruchomiło;Polska;
377;BIZNES;ING, mBank, BZ WBK;modernizację systemów;zamierzają przeprowadzić;Polska;ten weekend
378;POLITYKA;;zakaz handlu;obejmie;Polska;ten miesiąc
379;POLITYKA;;nowe Prawo budowlane;weszło w życie;Polska;
380;BIZNES;ekonomiści;zmiany w łańcuchach dostaw;uważają;świat;
381;BIZNES;Janusz Cieszyński;SMS-y i połączenia wyłudzające dane;blokować;Polska;
382;POLITYKA;Jarosław Kaczyński;pomysł na wykorzystanie 140 mld zł z OFE;przedstawił;Polska;
383;BIZNES;produkty spożywcze;podbój rynków;kontynuują;świat;
384;BRAK_ZDARZENIA;Jacek Sasin;;poinformował;;pierwsze półrocze 2021 r.
385;BIZNES;Grzegorz Puda i Helene Budliger Artidea;umowę ws. funduszy szwajcarskich;podpisali;Warszawa;
386;BIZNES;VNG;płatności za gaz;przekaże;Rosja;
387;POLITYKA;Adam Glapiński;misja Donalda Tuska;według szefa NBP;Polska;
388;BIZNES;świat;gorączka złota;ogarnęła;świat;
389;BIZNES;Krzysztof Klicki;funkcji prezesa Kolporter;rezygnuje;Polska;
390;BIZNES;kontrakty na gaz;notowania;wzrosły;Holandia (TTF);piątek
391;BIZNES;ceny ropy i gazu;ceny;spadają;;od 1 września
392;BIZNES;GUS;liczba podmiotów w REGON;podał;Polska;grudzień 2021 r.
393;BIZNES;Ministerstwo Rozwoju;wartość pomocy z tarczy;podało;Polska;16 października 2020 r.
394;POLITYKA;resort handlu USA;sankcje wobec Huawei;złagodził;USA / Chiny;wtorek
395;BIZNES;;struktura długu Skarbu Państwa;jest bezpieczna;Polska;
396;PRZESTEPSTWO;Orange Polska;decyzją UOKiK (kara 30 mln zł);nie zgadza się;Polska;
397;POLITYKA;Unia Europejska;zakaz rejestrowania aut spalinowych;decydowała;UE;po 2035 roku
398;BIZNES;DBRS Morningstar;ratingi Polski;potwierdziła;Polska;
399;BIZNES;;Strategiczne Studium Lokalizacyjne CPK;przyjęto;Polska;
400;BIZNES;finansowanie społecznościowe;popularność;bije rekordy;;
401;BIZNES;sklepy;oblężenie;przeżywają;USA;
402;BIZNES;polscy deweloperzy;kamienice i fabryki;rewitalizują;Polska;
403;BIZNES;Radosław Sikorski;liczba pasażerów na lotniskach;poinformował o spadku;Polska;
404;BIZNES;pociągi;czas przejazdu;mają jeździć;Łódź - Warszawa;weekendy
405;BIZNES;Wall Street;Dow Jones;stracił;USA;piątek
406;POLITYKA;Ministerstwo Gospodarki Morskiej;plan zagospodarowania morza;chce przedstawić;Polska;do końca roku
407;POLITYKA;sejmowa komisja finansów;poprawki do tarczy 4.0;zaproponowała;Polska;
408;BIZNES;Polskie Radio;współpracę z Leroy Merlin;zerwanie;Polska;
409;PRZESTEPSTWO;złośliwe oprogramowanie;telefony z Androidem;zainfekowanych;świat;
410;BIZNES;Havila Kystruten;zakaz przyjmowania aut EV i wodorowych;zdecydowała;Norwegia;
411;BIZNES;Novak Djokovic;akcje QuantBioRes;jest właścicielem;Dania;
412;BIZNES;NBP;oficjalne aktywa rezerwowe;poinformował;Polska;koniec sierpnia 2021 r.
413;BIZNES;GUS;dane o bezrobociu;poda;Polska;dziś
414;BIZNES;;produkcja przemysłowa;wzrosła;Polska;luty br.
415;KATASTROFA;grypa ptaków;epidemia;rozprzestrzenia się;Europa;
416;BIZNES;Międzynarodowy Fundusz Walutowy;wzrost gospodarczy Polski;ocenia (zwolnienie);Polska;kilka lat
417;BIZNES;Rzeczpospolita / Deloitte;lista Europa 500;przygotowała;Europa Środkowo-Wschodnia;
418;BIZNES;Saudi Aramco;wycena rynkowa;prześcignęło Apple;świat;
419;BIZNES;Polska;produkcja wiśni;znalazła się w gronie liderów;świat;2020 rok
420;BRAK_ZDARZENIA;;;;;2019 r.
421;BRAK_ZDARZENIA;;;;;
422;BIZNES;ARP / Stocznia Gdańsk;rewitalizacja terenów;rozpoczynają projekt;Gdańsk (wyspa Ostrów);
423;BIZNES;Nasz Dziennik;firmy w SSE;informuje;Polska;
424;BIZNES;Rzeczpospolita;Orlen (przejęcie Lotosu);ma szanse na zgodę KE;Polska / UE;
425;BIZNES;Andrzej Duda;100. dostawa LNG;wyładunek;Świnoujście;
426;BIZNES;Henryk Kowalczyk / Jacek Sasin;holding spożywczy;na ostatniej prostej;Polska;piątek
427;BIZNES;PKN Orlen;ranking najbardziej etycznych firm;znalazł się;świat;
428;BIZNES;;10 nowych umów PL-KAZ;podpisanie;Astana;
429;BIZNES;Tomasz Frąckowiak (PKO BP);popyt na kredyt hipoteczny;załamanie;Polska;
430;BIZNES;Puls Biznesu;rynek motoryzacyjny;informuje o rekordzie;Polska;ten rok
431;BIZNES;Howard Schultz (Starbucks);kawiarnie;zamknąć wiele;USA;
432;BIZNES;Polacy;Grecja i Turcja;wybierają chętniej;Grecja / Turcja;
433;BIZNES;Dziennik Gazeta Prawna;uszczelnienie VAT;podaje;Polska;ten rok
434;KATASTROFA;UkrAgroConsult;zbiory zbóż;spadną;Ukraina;piątek
435;POLITYKA;rząd Ukrainy;memorandum ws. dostaw LNG;zaakceptował;Ukraina / USA;
436;POLITYKA;Janusz Wojciechowski;bezpieczeństwo żywnościowe;zaznaczył;UE;
437;BIZNES;Rzeczpospolita;rekompensatę za wzrok;czytamy o możliwości;Polska;poniedziałek
438;BIZNES;Krzysztof Pietraszkiewicz (ZBP);ustawy o frankowiczach;postulaty zmian;Polska;
439;POLITYKA;Biały Dom;sprzedaż ropy z rezerw;ogłosił;USA;wtorek
440;BIZNES;dostawcy jedzenia;sieć kurierów;rozwijają;Polska;
441;BIZNES;Airbus;kolejne zlecenia;przyznaje;Polska;
442;BIZNES;Bartosz Marczuk (PFR);subwencje z Tarczy 2.0;powiedział o terminach;Polska;
443;POLITYKA;politycy PO;pytania o finansowanie;unikają odpowiedzi;Polska;
444;POLITYKA;Piotr Müller;dopłaty dla rolników;wyrównanie;UE / Polska;
445;BIZNES;Marlena Maląg;stopa bezrobocia;poinformowała;Polska;grudzień 2019 r.
446;BIZNES;12 osób;grono milionerów;dołączyło;Polska;
447;POLITYKA;rząd Kuby;lista działalności prywatnej;rozszerzenie;Kuba;
448;BIZNES;Binladen Group;pracowników;zwolnił;Arabia Saudyjska;
449;BIZNES;OPEC i Rosja;produkcja ropy;uzgodniły redukcję;Wiedeń;
450;POLITYKA;Rada Ministrów;dodatkowy zasiłek opiekuńczy;rozporządzenie;Polska;do 25 kwietnia
451;BRAK_ZDARZENIA;;flamaster;przypomina;;
452;BIZNES;Amazon Polska;pensje pracowników;ma podnieść;Polska;
453;BIZNES;norweska ropa;partia surowca;dotarła;Białoruś;niedziela rano
454;BIZNES;GPW;zakup akcji Armenia Securities Exchange;zamknięcie transakcji;Armenia / Polska;wtorek
455;BIZNES;Mariusz Błaszczak;zysk netto PGZ;poinformował;Polska;wtorek
456;BIZNES;;płaca minimalna;jest bardzo ważna;Polska;
457;BIZNES;Poczta Polska;dystrybucję kart SIM Orange;uruchomiła;Polska;piątek
458;POLITYKA;Kałasznikow;dron-kamikadze Kub;zaprezentował;Rosja;
459;BIZNES;Puls Biznesu;sklepy bez kas;podał wyniki badań;Polska;czwartek
460;BIZNES;;wakacje kredytowe i tarcza;interesują Polaków;Polska;
461;POLITYKA;Jadwiga Emilewicz;projekt małego ZUS-u;powiedziała;Polska;
462;BIZNES;trzy czwarte Polaków;wzrostu cen;boi się;Polska;
463;BIZNES;Czesław Warsewicz;udział na rynku;chce mieć;Polska;2022 rok
464;BRAK_ZDARZENIA;;;;;28 lipca br.
465;BIZNES;Adam Glapiński (NBP);inflacja;może wynieść;Polska;czwartek
466;BIZNES;polskie firmy;absolwentów;zabiegają;Wielka Brytania;
467;BIZNES;Rada Polityki Pieniężnej;stopy procentowe;podniosła;Polska;wtorek
468;PRZESTEPSTWO;UOKiK;kara na Polkomtel;nałożył;Polska;
469;BIZNES;;koszt frachtu i nawozów;wzrósł;świat;rok do roku
470;POLITYKA;Ministerstwo Rozwoju;wytyczne dla urzędników;szykuje;Polska;
471;POLITYKA;Komisja Europejska;termin wniosków o dopłaty;pozwala na wydłużenie;UE;2018 r.
472;BIZNES;segment piw bezalkoholowych;rynek;urósł;Polska;ostatni rok
473;POLITYKA;Beata Szydło;Narodowe Forum Przedsiębiorców;powoła;Polska;
474;BIZNES;klienci banków;wnioski o wakacje kredytowe;złożyli;Polska;
475;BIZNES;Adam Glapiński;wzrost gospodarczy;utrzymanie;Polska;2019 r.
476;BIZNES;polskie górnictwo;zysk netto;wypracowało;Polska;trzy kwartały
477;POLITYKA;liderka Frontu Narodowego;ton wypowiedzi;łagodzi;Francja;
478;BRAK_ZDARZENIA;koka;element kultury;jest;Boliwia;
479;BIZNES;Anna-Kaisa Itkonen (KE);gazociąg Baltic Pipe;powiedziała;UE;
480;BIZNES;Enerhoatom;umowę na paliwo jądrowe;podpisał;Ukraina;piątek
481;BIZNES;Eurostat;bezrobocie;wyniosło;Polska;luty
482;BIZNES;osoby z działalnością;preferencyjne stawki ZUS;będą płaciły;Polska;do końca 2018 r.
483;POLITYKA;Mateusz Morawiecki;fundusz Polski Ład;ogłaszam start;Borcz;
484;PRZESTEPSTWO;podziemny bank;działalność;działał;Chiny;
485;BIZNES;niemieckie władze;procedura parasola dla Condor;nie została sfinalizowana;Niemcy;
486;BIZNES;Zygmunt Solorz i Michał Sołowow;elektrownię jądrową;chcą zbudować;Polska;
487;POLITYKA;władze Chin;obostrzenia dla inwestorów;zamierzają wprowadzić;Chiny;
488;PROTEST;listonosze i pracownicy logistyki;strajk;ma trwać;Finlandia;od poniedziałka
489;POLITYKA;Turcja;budowę gazociągu;zgadza się;Turcja;poniedziałek
490;BIZNES;PLL LOT;Boeing 787-9 Dreamliner;przyleciał;Warszawa;środa
491;POLITYKA;francuski rząd;Jose Manuel Barroso;wezwał (do rezygnacji);Francja;
492;POLITYKA;Mateusz Morawiecki;studenci;przekonywał;Londyn;sobota
493;BIZNES;;diament;zapłacono;Belgia;
494;BIZNES;;Europejski Kongres Gospodarczy;rozpoczął się;Katowice;poniedziałek
495;BIZNES;Karolina Załuska (BNP Paribas);koszyk wielkanocny;będzie kosztował;Polska;2021 r.
496;BIZNES;Komisja Europejska;przejęcie Lotosu;zatwierdziła;UE;
497;BRAK_ZDARZENIA;widzowie TVP Info;człowieka biznesu;wskażą;Polska;
498;POLITYKA;MF Polski i Estonii;deklarację o współpracy;podpisali;Tallin;
499;BRAK_ZDARZENIA;;szczęście materialne;można kupić;;
500;BIZNES;szycie maseczek;miejsca pracy;uratowało;Polska;
501;PRZESTEPSTWO;Konrad Kąkolewski (GetBack);pieniądze;nie spocznę;Polska;
502;BIZNES;CEO World Magazine;ranking inwestycyjny;wynika;Polska;
503;POLITYKA;Paweł Szałamacha;obniżek stawek VAT;zapowiada brak;Polska;przyszły rok
504;BIZNES;PSA;Opel i Vauxhall;kupił;Paryż;poniedziałek
505;BIZNES;Tadeusz Kościński;gospodarka;poradziła sobie;Polska;
506;BIZNES;profesor;elastyczność gospodarki;ocenia;Polska;
507;BIZNES;American Airlines;Boeing 737 MAX;przedłużyły wycofanie;USA;piątek
508;BRAK_ZDARZENIA;Krzysztof Mamiński;;;;
509;BIZNES;e-petrol.pl;ceny autogazu;zaczęło drożeć;Polska;
510;BIZNES;Deutsche Welle;zakończenie budowy Nord Stream 2;planowane;Niemcy / Rosja;23 sierpnia
511;BIZNES;;cena baryłki ropy;spadła;Londyn;
512;BIZNES;Marcin Chludziński;kupno Stoczni Gdańsk;powiedział o ofercie;Polska;
513;PRZESTEPSTWO;komornik;wynagrodzenie;ochrona;Polska;
514;KATASTROFA;Ministerstwo Rolnictwa Francji;zbiory winogron;będą niskie;Francja;
515;PRZESTEPSTWO;Volkswagen;testy spalin;manipulował;Niemcy;
516;BIZNES;Palikot i Wojewódzki;sprzedaż akcji;fiasko;Polska;
517;BRAK_ZDARZENIA;protekcjonizm;zamknięcie w pokoju;jest;;
518;BIZNES;złoty;wartość;traci;Polska;poniedziałek 29 sierpnia
519;BIZNES;Grupa TUI;działalność operacyjną;zawiesza;świat;
520;BIZNES;Ministerstwo Energii;tłoczenie ropy;przywrócenie;Moskwa;od 10 czerwca
521;POLITYKA;Ministerstwo Finansów;bramki opłat;nie będą potrzebne;Polska;od 1 grudnia 2021 r.
522;BIZNES;prezes UOKiK;przejęcie PGNiG;zgodził się;Polska;
523;POLITYKA;Andrzej Adamczyk;droga S19;zapowiada otwarcia;Polska;grudzień
524;BIZNES;kolekcjonerzy;banknot;zachwyceni;;
525;BIZNES;AstraZeneca;umowę na szczepionki;zgodziła się opublikować;UE;
526;BIZNES;światowe giełdy;spadki;notują;świat;
527;POLITYKA;Beata Szydło;podatków;nie będziemy podnosić;Polska;
528;BIZNES;IndiGo;samoloty A320neo;kupią;Indie / UE;
529;POLITYKA;;reforma skarbówki;rusza;Polska;
530;BRAK_ZDARZENIA;;;;;
531;BIZNES;Deutsche Welle;polska gospodarka;okazuje się prymusem;Polska;pierwszy kwartał
532;BIZNES;Adam Glapiński;100 ton złota;zamierzam kupić;Polska;środa
533;POLITYKA;Facebook i Google;rosyjskie media;zablokowanie;świat;wtorek
534;BIZNES;;gospodarka;wyszła z kryzysu;Polska;
535;KATASTROFA;KRIR;susza rolnicza;wystąpiła;Polska;
536;BIZNES;Microsoft;sprzedaż produktów;wstrzymuje;Rosja;piątek
537;POLITYKA;resort finansów;Twój e-PIT;będzie niedostępna;Polska;sobota-niedziela
538;BIZNES;Ringier Axel Springer;współpracę z Tomaszem Lisem;zakończeniu;Polska;
539;BIZNES;BIG InfoMonitor;zadłużenie hotelarzy;podaje;Polska;
540;BIZNES;Rada Polityki Pieniężnej;stóp procentowych;nie zmieniła;Polska;środa
541;BIZNES;Zoltan Varga;potentata w regionie;chce stworzyć;Budapeszt;
542;BIZNES;Federalny Urząd Statystyczny;inflacja;poinformował;Niemcy;wrzesień
543;BIZNES;Sebastian Chwałek;likwidację Bumaru;nie zamierza;Polska;
544;POLITYKA;Komisja Europejska;kary ws. Turowa;nie otrzymała;UE;środa
545;PRZESTEPSTWO;Cristiano Ronaldo;14,7 mln euro;zataić;Hiszpania;
546;POLITYKA;UE;port USB typu C;będą musiały być wyposażone;UE;do końca 2024 r.
547;BIZNES;Bartosz Turek;hotele i pensjonaty;czeka oblężenie;Polska;piątek
548;BIZNES;Jadwiga Emilewicz;tempo wzrostu obrotów;zaskoczyło;Polska;
549;POLITYKA;Senat;nowelizację akcyzy;odrzucił;Polska;środa
550;BIZNES;GUS;stopa bezrobocia;podał;Polska;wrzesień 2018 r.
551;BIZNES;zagraniczne firmy;laboratoria;przejęte;Polska;
552;POLITYKA;Mateusz Morawiecki;CIT estoński i środki UE;będą impulsami;Polska;przyszły rok
553;POLITYKA;Andrzej Adamczyk;obwodnica Warszawy;zapowiedział oddanie;Warszawa;środa
554;POLITYKA;Der Spiegel;gazociąg Nord Stream 2;pisze o szkodliwości;Niemcy;sobota
555;BIZNES;banki;zadłużenie JSW;ultimatum;Polska;
556;POLITYKA;rząd federalny;plan zamykania elektrowni;osiągnęły porozumienie;Niemcy;
557;BIZNES;Puls Biznesu;instalacje fotowoltaiczne;informuje;Polska;do końca roku
558;POLITYKA;Donald Trump;ustawę Dodda-Franka;nakazuje przegląd;USA;
559;POLITYKA;Mateusz Morawiecki;sesji MFW i BŚ;ma reprezentować;Waszyngton;piątek
560;BIZNES;;inwestycji z Chin;nie widać;Polska;
561;BIZNES;Sąd Unii Europejskiej;skargę Autostrady Wielkopolskiej;oddalił;UE;
562;BIZNES;Niemiecki Urząd Statystyczny;liczba zamówień;zmalała;Niemcy;wrzesień
563;BIZNES;Witold Słowik;zarząd PGZ;odwołani;Polska;
564;BIZNES;Moody's;Portoryko;niewypłacalne;Portoryko;poniedziałek
565;BIZNES;;produkcja przemysłowa;była wyższa;Polska;listopad
566;BIZNES;Polacy;zakupy spożywcze;pandemia wpłynęła;Polska;
567;BIZNES;Paweł Majewski;zużycie gazu;poinformował;Polska;
568;BRAK_ZDARZENIA;złoty;sytuacja;wygląda;rynek międzynarodowy;
569;BIZNES;BIG InfoMonitor;opóźnienia płatności;wynika z badania;Polska;
570;BIZNES;Fed;stopę procentową;obniżył;USA;
571;BIZNES;Rada Nadzorcza PAIiIZ;Sławomira Majmana;odwołała;Polska;poniedziałek
572;BIZNES;GUS;ceny mieszkań;wyższe;Polska;pierwszy kwartał br.
573;POLITYKA;;związki między Rosją a Białorusią;zacieśnienie;Rosja/Białoruś;
574;BIZNES;;inwestycji w branżę gier;lista;Polska;
575;BIZNES;Puls Biznesu;używanych samochodów;sprowadzono mniej;Polska;styczeń
576;BIZNES;czarna herbata;zwolenników;traci;Polska;
577;POLITYKA;Berliner Zeitung;polityka PiS;przekonuje;Niemcy;
578;BIZNES;Ministerstwo Funduszy;400 mln złotych;poinformowało;Polska;2020 r.
579;BRAK_ZDARZENIA;;polityką środków unijnych;;;
580;BIZNES;Elon Musk;Starlink;jest siecią;;
581;BIZNES;Polacy;obligacjach rządowych;ulokowali 14 mld zł;Polska;czerwiec
582;BIZNES;PESA Bydgoszcz;przetarg na tramwaje;wpłynęła oferta;Gdańsk;wtorek
583;POLITYKA;Mateusz Morawiecki;ceny węgla;zapewnił o pomocy;Stalowa Wola;
584;BIZNES;niemieckie firmy;działalność w Rosji;działają;Rosja;
585;BIZNES;Zarząd PGE;spółki PGE Paliwa;sprzedaży;Polska;
586;BIZNES;LOT;inwestora;ma;Polska;
587;BIZNES;Eurostat;stopa bezrobocia;poinformował;UE;sierpień
588;BIZNES;GUS;sprzedaż detaliczna;wzrosła;Polska;maj
589;POLITYKA;Nasz Dziennik;pakiet energetyczny;informuje o blokadzie;Bruksela;
590;BIZNES;dziesięć największych banków;podatku bankowego;zapłaci;Polska;
591;BRAK_ZDARZENIA;Terminal LNG;;;;
592;BIZNES;Volkswagen;rozwój aut hybrydowych i elektrycznych;ogłosił;Niemcy;
593;BIZNES;;konkurs dla inicjatyw pracowniczych;rusza;;
594;BIZNES;Gertruda Uścińska;prezesem ZUS;ma być;Polska;
595;BIZNES;Moskwa;kupno okrętów mistral;okazało się interesem;Rosja;
596;BIZNES;myTaxi;współdzielenie taksówek;ruszy;Warszawa;
597;BIZNES;Eurostat;zatrudnienie imigrantów;wynika z danych;Polska;
598;POLITYKA;Jacek Bogucki;produkcja nalewek i destylatów;pracuje nad zmianą;Polska;
599;BIZNES;pracownicy z zagranicy;płace;są gorzej opłacani;Niemcy;
600;BIZNES;deweloperzy morscy;budowa farm wiatrowych;chce budować;Bałtyk;
601;PRZESTEPSTWO;Komisja Europejska;zmowę technologiczną;zarzuciła;UE;
602;POLITYKA;Bruksela;ograniczenie funduszy;pojawiły się pomysły;UE;po 2020 roku
603;BIZNES;Ministerstwo Finansów;dane podatników CIT;wywołały burzę;Polska;
604;POLITYKA;Alaksandr Łukaszenka;eksport kaszy i soli;twierdził;Białoruś;miesiąc temu
605;BIZNES;Polacy;polisy turystyczne;chętniej kupujemy;Polska;
606;BIZNES;ministerstwo finansów USA;deficyt budżetowy;poinformowało;USA;rok podatkowy 2019
607;BIZNES;bankier.pl;limit dochodu PIT;warto zwrócić uwagę;Polska;2020
608;POLITYKA;Łukasz Szumowski;podatek cukrowy;powiedział;Polska;niedziela
609;POLITYKA;;plan udrożnienia rzek;zostanie zrealizowany;Polska;
610;BRAK_ZDARZENIA;;śmigłowce szkoleniowe;nie ma potrzeby;;
611;BIZNES;;polskie truskawki;pojawiają się;Polska;od kilku dni
612;BIZNES;lokalni przedsiębiorcy;platforma Zakupy u swoich;mogą się rejestrować;Polska;
613;POLITYKA;PGZ;remonty czołgów T-72;tematem rozmów;Polska/Irak;czwartek
614;BIZNES;Jan Krzysztof Ardanowski;zbiory;są dobre;Bralin;
615;BIZNES;;lodówkomaty;zostały rozstawione;Polska;
616;PRZESTEPSTWO;UOKiK;karę 2 mln zł;nałożył;Polska;
617;BIZNES;Adam Glapiński;dane o inflacji;nie są niepokojące;Polska;
618;BIZNES;branża fitness;otwarcie po lockdownie;otwiera się;Polska;najbliższy weekend
619;BIZNES;niemieckie krematoria;oszczędzanie gazu;planują;Niemcy;
620;POLITYKA;grecki rząd;porozumienie z kredytodawcami;jest;Grecja;
621;BIZNES;;dane gospodarcze;są poniżej oczekiwań;;
622;BIZNES;Wizz Air;loty do Włoch;zawiesza;Włochy;od dziś
623;BIZNES;Chiny;import wołowiny;wstrzymały;Chiny/Litwa;
624;POLITYKA;;działania protekcjonistyczne;nasilił;UE;
625;BIZNES;Deutsche Welle;pociągi EuroCity;zaczną kursować;Berlin/Wrocław/Kraków;od końca 2020 r.
626;BIZNES;Altus;odszkodowanie od RASP;wezwał do zapłaty;Polska;
627;BIZNES;Brandenburska Agencja Środowiska;budowa fabryki Tesli;wstrzymane;Niemcy;
628;BIZNES;PST (PGNiG);dostawy gazu;podpisała umowę;Norwegia;piątek
629;POLITYKA;Henryk Kowalczyk;podatek od marketów;powiedział;Polska;przyszły rok
630;BIZNES;koncern MAN;restrukturyzacja zakładów;szansa dla fabryk;Niepołomice/Starachowice;
631;PRZESTEPSTWO;CBA;nieprawidłowości przy Ciech;działania;Polska;
632;POLITYKA;Marcin Horała;zakazy w ruchu lotniczym;nie pracuje nad;Polska;
633;BIZNES;sektor bankowy;ubóstwo o 22 mld zł;będzie;;
634;BIZNES;bankowcy;kryteria kredytów hipotecznych;łagodzą;;
635;PRZESTEPSTWO;prezes UOKiK;karę 140 mln zł;nałożył;Polska;
636;POLITYKA;Bank Światowy;inwestycje w dzieci;zaapelował;świat;
637;BIZNES;;praca zdalna;ma być rozwiązaniem;;
638;POLITYKA;TSUE;podatek od sprzedaży detalicznej;orzekł o braku naruszenia;UE/Polska;
639;BRAK_ZDARZENIA;Super Express;raport;dotarł;;
640;POLITYKA;Janis Warufakis;działania struktur;nazwał terroryzmem;Grecja;
641;BIZNES;PKO BP;przekształcenie w instytucję tech;powinien;Polska;
642;POLITYKA;Jerzy Szmit;problemy w transporcie do Rosji;poinformował;Rosja;poniedziałek
643;BIZNES;PZU i PFR;akcje Banku Pekao;przejmą;Polska;
644;PRZESTEPSTWO (zatrzymać);Izba Administracji Skarbowej;nielegalne automaty;zatrzymano;Mazowsze;styczeń
645;PRZESTEPSTWO;Sąd;kartel Royal Canin;orzekł;Polska;
646;BIZNES;;projekty w strefach ekonomicznych;zdecydowało się najwięcej firm;Polska;2020 r.
647;BIZNES;koronawirus;gospodarka USA;uderza;USA;
648;BIZNES;;opłata za brak parkowania;podwyższyć;;
649;BIZNES;;porozumienie w Kompanii Węglowej;jest szansa;Polska;
650;BIZNES;Moody's;prognozę wzrostu PKB;podwyższyła;Polska;ten rok
651;KATASTROFA;strażacy;pożar transformatora;ugasili;Warszawa;
652;POLITYKA;Jarosław Gowin;plan deglomeracji;zaprezentuje;Warszawa;13 stycznia
653;BIZNES;Dell;zakup EMC;ogłosiła plany;USA;
654;BIZNES;turyści;odpoczynek;wybierają;Polska;
655;BIZNES;ministerstwo rolnictwa;eksport jabłek;poinformowało;Tajwan;piątek
656;POLITYKA;Xi Jinping;walka z protekcjonizmem;wezwał;Szanghaj;wtorek
657;POLITYKA;;przepisy podatkowe dla twórców;zostaną poprawione;Polska;
658;PRZESTEPSTWO;Sądy;sankcje UOKiK;utrzymały;Polska;
659;BRAK_ZDARZENIA;Leszek Balcerowicz;idol opozycji;jest;;
660;BIZNES;ARiMR;wnioski o dopłaty;złożyło ponad 90 tys. osób;Polska;
661;POLITYKA;Siłuanow i Jaresko;spotkanie;fiaskiem zakończyło się;Peru;piątek
662;POLITYKA;Konrad Szymański;postępowanie przeciw Gazpromowi;rozczarowani;UE/Rosja;czwartek
663;BIZNES;Thomas O'Donnell;zastąpienie importu z Rosji;ocenia;UE;w ciągu 4-6 lat
664;POLITYKA;Ministerstwo Finansów;podatek katastralny;nie planuje;Polska;środa
665;BRAK_ZDARZENIA;;szansa dla dzieci z SMA;;;
666;POLITYKA;Czechy;stosowanie glifosatu;zakażą;Czechy;
667;BIZNES;Tewolde Gebremariam;budowa nowego lotniska;zapowiedział;Addis Abeba;koniec roku
668;POLITYKA;KAS;walka z wyłudzeniami VAT;zyska narzędzie;Polska;
669;BIZNES;;niemiecki eksport;przyhamował;Niemcy;lipiec
670;BIZNES;Polska;PKB na mieszkańca;zaczęła wyprzedzać;Polska;od 2015 r.
671;BIZNES;;stopa bezrobocia;wyniosła 9,6 proc.;Polska;kwiecień
672;BIZNES;Poczta Polska i Energa;list intencyjny ws. stacji ładowania;podpisały;Polska;czwartek
673;BIZNES;fDi Intelligence;ranking inwestycji;zajęły pierwsze miejsce;Katowice;poniedziałek
674;BIZNES;Kamil Pastor (PKO BP);inflacja;wyniosła 15,6 proc.;Polska;czerwiec
675;BIZNES;parlamentarzyści PO;zwrot 15 mld zł z kont uśpionych;poinformowali;Polska;piątek
676;POLITYKA;Sejm Litwy;poprawki do kodeksu pracy;przyjął;Litwa;czwartek
677;BIZNES;Nirmala Sitharaman;szczyt inwestorów;ogłosiła plany;Indie;
678;BRAK_ZDARZENIA;;podatek od transakcji;;Polska;
